Feature team	Prefix
CRM	SysEmail
CRM	SysIMapi
CRM	SysImport
CRM	SysMap
CRM	SysMapi
CRM	SysOutgoingEmail
CRM	SysOutlook
CRM	SysSendMail
CRM	SysStatusChangeDateTime
CRM	SysTranslationData
CRM	SysWindowsApp
CRM	SysWindowsAzure
CRM	SysVisioDirectory
CRM	TmpEmailBody
CRM	TmpTableFieldLookup
CRM	UnderConstruction
CRM	WinningOpportunity
	
DPT	Appl
DPT	AxAxdTable
DPT	AxdForUnitTest
DPT	Class
DPT	Comma7Io
DPT	CommaIo
DPT	CommaTextIo
DPT	CompileOutputInfos
DPT	CustomizeToolbar
DPT	Development
DPT	Dictionary
DPT	DynamicArray
DPT	Editor
DPT	EditorScripts
DPT	Enum
DPT	GuidKernel
DPT	Io
DPT	KernelUnitTest
DPT	Label
DPT	LanguageTable
DPT	LastAotSelection
DPT	Object
DPT	Parse
DPT	ProjectNode
DPT	PropertiesWindow
DPT	Resource
DPT	str2XXX
DPT	StringCch
DPT	SysAOD
DPT	SysAOT
DPT	SysApi
DPT	SysApplicationObject
DPT	SysBit
DPT	SysBP
DPT	SysClass
DPT	SysCodeExplorer
DPT	SysCompar
DPT	SysCompilerOutput
DPT	SysContext
DPT	SysCopyToCurrentLayer
DPT	SysDevelopment
DPT	SysDictionary
DPT	SysEditor
DPT	SysElement
DPT	SysER
DPT	SysExportDialog
DPT	SysGlobalCache
DPT	SysGuid
DPT	SysImportDialog
DPT	SysInt
DPT	SysIO
DPT	SysKernelUnitTest
DPT	SysLabel
DPT	SysLanguage
DPT	SysListSelect
DPT	SysMerge
DPT	SysMethod
DPT	SysMock
DPT	SysModel
DPT	SysModule
DPT	SysMorphX
DPT	SysObsoleteAttribute
DPT	SysOpen
DPT	SysOSInfo
DPT	SysPick
DPT	SysProjectFilter
DPT	SysResource
DPT	SysShellExecute
DPT	SysSoftTool
DPT	SysSource
DPT	SysStartUpCmdDrillDown
DPT	SysStartUpCmdViewAlert
DPT	SysStartUpCmdViewAlertRule
DPT	SysTeamServer
DPT	SysTest
DPT	SysTreeHierarchy
DPT	SysTreeNode
DPT	SysTreeSearch
DPT	SysTypeHierarchy
DPT	SysUML
DPT	SysUnitTestable
DPT	SysUtil
DPT	SysVersionControl
DPT	SysVisio
DPT	SysVS
DPT	SysVSProjectNodeObservable
DPT	SysVSProjectNodeObserver
DPT	SysVSProjectsExport
DPT	SysWizardWizard
DPT	SysXMLDoc
DPT	TmpAot
DPT	TmpNotes
DPT	TmpProperty
DPT	TmpTable
DPT	TmpWizard
DPT	Tree
DPT	tutorial_Auction
DPT	Tutorial_Comparable
DPT	Tutorial_CompareContextProvider
DPT	Tutorial_DDETest
DPT	Tutorial_Progress
DPT	Tutorial_ShowAviFiles
DPT	UserInfoStartupModel
DPT	util
DPT	ve
DPT	VS
DPT	Win
DPT	xApplication
DPT	xClassFactory
DPT	xCompilerOutput
DPT	xGlobal
DPT	xrefVisualStudio
DPT	xTeamServerSession
DPT	xUtil
DPT	Xunit
DPT	xVersionControl
	
Dynamics Online	DOCommerce
Dynamics Online	DoPaymentConnector 
Dynamics Online	DOCommon
Dynamics Online	DOSites
Dynamics Online	SitesSvc
Dynamics Online	SyncDocument
Dynamics Online	SyncSolution
Dynamics Online	SyncSynchronization
Dynamics Online Total	
	
Expense Management	AccDistRuleIntercompanyCost
Expense Management	AccDistRuleProjectTimesheets
Expense Management	AccJourRuleIntercompanyCost
Expense Management	AccJourRuleProjecTimesheets
Expense Management	AccPolicyNeverNoLedgerForProjTimesheets
Expense Management	AxdExpense
Expense Management	AxdTrv
Expense Management	AxTrv
Expense Management	Category
Expense Management	default_EmployeeServices_ApproveExpenses 
Expense Management	default_EmployeeServices_ManageExpenses 
Expense Management	DimDerDistRuleIntercompanyCost
Expense Management	DimDerDistRuleProjectTimesheetsExt
Expense Management	DimDerJourRule
Expense Management	ExpenseManagement
Expense Management	GlobalCategory
Expense Management	SysPolicy
Expense Management	TravelAndExpense
Expense Management	TRV
Expense Management	TS
Expense Management	tutorial_Expense
Expense Management Total	
	
Accounts Receivable	*_Currency
Accounts Receivable	*_ExchangeRate
Accounts Receivable	*FreeInvoice
Accounts Receivable	*FreeTextInvoice
Accounts Payable	*PurchaseInvoice
Accounts Receivable	*SalesInvoice
Accounts Payable	*VendInvoice
General Ledger	AccDist
General Ledger	AccJour
General Ledger	Accountant
General Ledger	Accounting
General Ledger	AccountingDistribution
General Ledger	AccountingEvent
General Ledger	AccountingLegal
General Ledger	AccountingManager
Accounts Payable	AccountsPayable
Accounts Receivable	AccountsReceivable
General Ledger	AccountStructureContract
General Ledger	AccountSumMap
General Ledger	AccPolicy
Accounting Framework	AcctDualVoucherScenario
Accounting Framework	AcctSourceDoc
Accounting Framework	AcctSubledger
General Ledger	Allocate
Fixed Assets	Asset
Compliance	AuditPolicy
General Ledger	AxAccountingDistribution
General Ledger	AxAddress
Fixed Assets	AxAsset
Cash Management	AxCash
Cash Management	AxCustPaym
Cash Management	AxCustSettle
Cash Management	AxCustTransOpen
Cash Management	AxCustVendPaym
General Ledger	AxDimension
Fixed Assets	AxdAsset
Budget	AxdBudget
Cash Management	AxdCash
Cash Management	AxdCustPaym
General Ledger	AxdDim
General Ledger	AxdExchange
Cash Management	AxdExportCustVendPayment
Fixed Assets	AxdFixedAsset
Accounts Receivable	AxdFreeText
General Ledger	AxDimensionAttributeValueCombi
General Ledger	AxdLedger
Cash Management	AxdPaym
General Ledger	AxdSendDim
General Ledger	AxdSendExch
